sensor,time,acc_x,acc_y,acc_z,trial_status
Sensor_0x53,78107292,0.07,-0.332,-0.104,
Sensor_0x1D,78107461,0.044,-0.213,-0.067,
Sensor_0x53,78108325,0.07,0.139,-0.025,
Sensor_0x1D,78108621,0.122,0.022,-0.067,
Sensor_0x53,78109398,0.148,-0.175,-0.261,
Sensor_0x1D,78109777,0.122,-0.135,0.012,
Sensor_0x53,78110430,-0.008,-0.097,0.053,
Sensor_0x1D,78110927,0.044,0.022,-0.067,
Sensor_0x53,78111475,-0.401,-0.097,-0.025,
Sensor_0x1D,78112100,0.044,0.1,-0.067,
Sensor_0x53,78112514,-0.008,0.217,-0.025,
Sensor_0x1D,78113280,0.044,0.1,-0.616,
Sensor_0x53,78113555,0.227,-0.332,-0.261,
Sensor_0x1D,78114490,0.044,0.022,-0.067,
Sensor_0x53,78114585,-0.087,0.374,0.367,
Sensor_0x53,78115628,-0.008,0.452,-0.182,
Sensor_0x1D,78115674,0.201,-0.135,-0.067,
Sensor_0x53,78116658,-0.008,0.139,0.288,
Sensor_0x1D,78116834,0.122,0.022,-0.067,
Sensor_0x53,78117695,-0.165,-0.254,-0.104,
Sensor_0x1D,78117982,-0.035,0.1,0.482,
Sensor_0x53,78118729,0.227,0.139,-0.261,
Sensor_0x1D,78119130,0.201,-0.449,-0.067,
Sensor_0x53,78119769,-0.008,0.374,-0.025,
Sensor_0x1D,78120298,-0.035,0.1,0.169,
Sensor_0x53,78120799,0.07,0.06,-0.339,
Sensor_0x1D,78121462,-0.113,0.1,-0.067,
Sensor_0x53,78121871,-0.008,-0.097,0.053,
Sensor_0x1D,78122638,-0.113,-0.213,-0.067,
Sensor_0x53,78122904,-0.165,-0.254,0.053,
Sensor_0x1D,78123806,0.122,0.022,-0.067,
Sensor_0x53,78123943,-0.087,0.139,0.524,
Sensor_0x53,78124980,0.227,-0.489,-0.339,
Sensor_0x1D,78124986,0.122,0.022,0.404,
Sensor_0x53,78126019,-0.008,0.217,0.131,
Sensor_0x1D,78126170,-0.113,0.022,0.012,
Sensor_0x53,78127050,-0.479,-0.175,-0.339,
Sensor_0x1D,78127340,0.044,-0.135,0.012,
Sensor_0x53,78128122,0.07,0.374,0.21,
Sensor_0x1D,78128485,0.279,-0.213,-0.067,
Sensor_0x53,78129155,-0.322,-0.097,-0.025,
Sensor_0x1D,78129648,-0.113,-0.056,0.012,
Sensor_0x53,78130198,0.07,0.06,0.053,
Sensor_0x1D,78130808,0.122,-0.135,0.09,
Sensor_0x53,78131237,-0.008,-0.175,0.053,
Sensor_0x1D,78131989,0.044,0.022,0.09,
Sensor_0x53,78132278,0.07,0.217,-0.418,
Sensor_0x1D,78133181,-0.035,0.1,0.169,
Sensor_0x53,78133309,-0.244,-0.175,-0.182,
Sensor_0x53,78134350,-0.008,-0.175,-0.025,
Sensor_0x1D,78134377,0.044,-0.135,0.169,
Sensor_0x53,78135382,-0.008,0.06,0.053,
Sensor_0x1D,78135557,-0.035,0.022,-0.067,
Sensor_0x53,78136420,-0.087,-0.175,-0.025,
Sensor_0x1D,78136704,-0.113,-0.056,0.169,
Sensor_0x53,78137459,0.07,-0.018,-0.025,
Sensor_0x1D,78137873,0.122,0.1,-0.694,
Sensor_0x53,78138534,-0.008,-0.097,-0.104,
Sensor_0x1D,78139020,0.122,-0.135,-0.067,
Sensor_0x53,78139566,-0.087,0.06,-0.025,
Sensor_0x1D,78140172,-0.113,0.1,-0.067,
Sensor_0x53,78140638,-0.322,-0.097,-0.025,
Sensor_0x1D,78141371,-0.035,0.022,-0.067,
Sensor_0x53,78141668,0.07,0.295,0.288,
